"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Age","Gender","Country","Education","OrganizationSize","Disabilities","COVIDStatus","AdultCohabitants","ChildCohabitants","FearResilience"
1,"English",0,0,0,0,0,0,1,3,3,5,4,4,1,4,4,5,5,4,2,5,5,5,4,4,1,2,3,2,1,5,1,3,2,2,2,1,7,4,4,4,4,3,2,4,6,7,9,7,1,13,8,1,4,"Male","Brazil",3,3,0,0,1,1,NA
2,"English",0,0,0,0,0,0,1,3,5,5,3,5,2,6,4,6,6,6,2,5,5,5,5,5,5,2,5,2,2,4,3,2,2,2,2,2,5,4,4,4,4,4,2,4,4,7,8,5,0,8,3,1,5,"Male","Canada",4,3,0,0,1,0,-3.8
3,"English",1,0,0,0,0,0,1,3,1,5,4,5,4,3,3,4,4,5,2,3,3,3,3,3,3,3,4,3,4,4,2,2,2,3,3,2,6,3,4,3,3,3,3,4,5,6,8,6,1,8,1,1,4,"Male","India",2,5,0,0,1,0,NA
4,"English",1,0,0,0,0,0,1,3,2,5,3,5,4,6,5,4,5,6,2,5,5,6,5,5,4,5,5,4,5,3,3,3,2,2,3,1,5,3,4,4,4,4,4,3,2,8,8,4,1,2,2,1,4,"Male","Canada",4,5,0,0,1,0,-3.9
5,"English",0,0,0,0,1,0,0,3,4,3,4,4,4,3,4,4,5,6,2,5,4,5,4,4,2,2,4,2,2,3,2,2,3,2,1,3,5,2,3,4,3,2,4,3,1,7,8,5,1,12,6,1,6,"Male","United States",2,2,0,2,1,2,-0.9
6,"English",1,0,0,0,0,0,1,3,3,5,5,5,4,6,5,6,4,5,5,5,5,4,5,5,4,4,4,4,4,2,2,2,1,1,2,1,5,2,1,2,1,1,2,2,4,7,8,9,1,9,5,1,6,"Male","Canada",4,6,0,0,1,0,-4
7,"English",1,0,0,0,1,0,0,3,5,5,5,5,5,2,1,6,2,6,1,4,4,5,4,4,2,2,3,2,2,3,1,2,2,1,2,1,5,1,3,3,2,4,2,3,4,8,8,7,0,10,0,1,5,"Female","Netherlands",2,3,0,2,1,2,1
8,"English",0,0,0,0,0,0,1,4,2,3,5,5,4,6,3,6,4,6,2,1,1,3,2,1,2,2,4,2,2,1,1,2,3,3,3,1,3,1,3,3,2,3,1,3,3,6,5,5,1,0.5,0,0,2,"Male","Poland",1,6,0,0,2,0,-1.6
9,"English",1,0,0,0,0,0,1,3,4,5,2,5,1,5,4,5,5,6,5,5,5,5,5,6,1,1,1,1,1,5,2,1,2,1,1,2,7,2,5,5,4,3,4,5,1,5,9,1,1,5,3,1,4,"Male","Canada",3,6,0,0,0,0,-2.3
10,"English",1,0,0,0,0,0,1,3,5,4,5,5,5,5,6,6,6,6,2,4,3,4,4,4,4,4,4,4,4,3,2,2,3,3,3,2,6,2,2,3,3,2,2,3,4,8,8,7,1,15,1,1,5,"Male","United States",2,2,0,0,2,1,-4.1
11,"English",0,0,0,0,0,1,0,3,1,4,5,5,4,5,4,5,5,5,4,4,3,5,4,5,5,2,4,3,3,4,1,2,2,2,2,1,6,3,2,2,2,2,1,1,5,7,8,7,1,5,0,1,3,"Male","United Kingdom",2,5,0,1,0,0,-3.1
12,"English",0,0,0,0,0,0,1,4,1,3,4,5,NA,5,2,5,3,5,5,5,5,5,3,5,2,1,2,2,1,3,3,4,3,3,3,4,4,3,3,3,2,3,3,3,4,6,6,5,1,1,0,1,2,"Male","Nepal",2,2,0,0,2,0,-1.2
13,"English",1,0,0,0,0,0,1,2,2,5,5,5,3,5,3,6,3,6,2,5,5,6,5,6,5,5,6,6,5,3,1,3,3,3,3,3,4,3,3,3,3,3,3,1,4,8,8,8,0,5,1,1,6,"Male","United States",2,4,0,0,1,2,-3
14,"English",0,0,0,0,0,0,1,3,1,4,3,4,1,5,4,4,5,5,4,5,4,5,4,5,4,2,3,3,4,3,2,1,2,2,2,2,4,3,3,3,2,2,2,3,4,8,8,7,1,1,0,0,2,"Male","United States",3,2,0,0,2,0,0.2
