"ID","Language","AtLeastOneOpenResponse","Isolation","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Age","Gender","Country","Education","OrganizationSize","Disabilities","OS1_y","OS1_h","OS2_y","OS2_h","OS3_y","OS3_h","OS4_y","OS4_h","OS5_y","OS5_h","OS6_y","OS6_h","OS7_y","OS7_h","OS8_y","OS8_h","OS9_y","OS9_h","OS10_y","OS10_h","OS11_y","OS11_h","OS12_y","OS12_h","OS13_y","OS13_h","OS14_y","OS14_h","OS15_y","OS15_h","OS16_y","OS16_h","OS17_y","OS17_h","OS18_y","OS18_h","OS19_y","OS19_h","OS20_y","OS20_h","OS21_y","OS21_h","OS22_y","OS22_h","COVIDStatus","AdultCohabitants","ChildCohabitants","FearResilience","PerRatioB","PerRatioS","DeltaWellbeing"
1,"English",0,2,2,4,3,3,0,1,1,2,2,1,-2,4,4,4,3,3,0,1,2,1,0,4,0,2,1,1,1,0,3,3,3,3,3,2,1,3,2,7,9,7,1,1.3,0.8,1,3,4,"Male","Brazil",3,3,0,,,0,1,,,,,1,0,1,1,1,1,1,1,1,1,,,1,1,,,,,0,1,0,1,,,,,1,1,1,0,1,1,1,1,1,0,0,1,1,,1.28571428571429,1,-14
2,"English",0,2,4,4,2,4,1,3,1,3,3,3,-2,4,4,4,4,4,4,1,4,1,1,3,2,1,1,1,1,1,1,3,3,3,3,3,1,3,0,7,8,5,0,0.8,0.3,1,2,5,"Male","Canada",4,3,0,,,1,1,,,0,1,0,1,1,1,1,1,,,1,1,,,1,0,1,1,,,,,,,,,,,1,1,0,1,1,1,,,,,0,1,0,-3.8,1.14285714285714,0.714285714285714,-9
3,"English",1,2,0,4,3,4,3,-1,-1,1,1,2,-2,2,2,2,2,2,2,2,3,2,3,3,1,1,1,2,2,1,2,2,3,2,2,2,2,3,1,6,8,6,1,0.8,0.1,1,2,4,"Male","India",2,5,0,1,0,,,1,0,,,,,,,,,,,1,0,,,1,0,,,1,0,,,,,,,,,,,1,0,,,,,,,0,1,0,,1.33333333333333,1,2
4,"English",1,2,1,4,2,4,3,3,2,1,2,3,-2,4,4,5,4,4,3,4,4,3,4,2,2,2,1,1,2,0,1,2,3,3,3,3,3,2,-2,8,8,4,1,0.2,0.2,1,2,4,"Male","Canada",4,5,0,,,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,,,,,0,1,0,1,1,1,0,1,0,1,0,1,,,1,0,0,1,0,-3.9,1,0.5,-3
5,"English",0,2,3,2,3,3,3,-1,1,1,2,3,-2,4,3,4,3,3,1,1,3,1,1,2,1,1,2,1,0,2,1,1,2,3,2,1,3,2,-3,7,8,5,1,1.2,0.6,1,4,6,"Male","United States",2,2,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,,,1,0,1,0,,,,,,,0,1,0,1,1,0,1,0,1,0,1,0,1,0,2,1,2,-0.9,1.14285714285714,0.714285714285714,-10
6,"English",1,2,2,4,4,4,3,3,2,3,1,2,2,4,4,3,4,4,3,3,3,3,3,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,7,8,9,1,0.9,0.5,1,2,6,"Male","Canada",4,6,0,1,0,1,0,1,0,,,1,0,1,0,1,0,1,0,1,0,,,1,0,1,0,1,0,0,1,0,1,,,0,1,1,0,1,0,1,0,,,1,0,0,1,0,-4,1.14285714285714,1.28571428571429,-4
7,"English",1,2,4,4,4,4,4,-2,-3,3,-2,3,-3,3,3,4,3,3,1,1,2,1,1,2,0,1,1,0,1,0,1,0,2,2,1,3,1,2,0,8,8,7,0,1,0,1,4,5,"Female","Netherlands",2,3,0,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,2,1,2,1,1,0.875,-10
8,"English",0,3,1,2,4,4,3,3,-1,3,1,3,-2,0,0,2,1,0,1,1,3,1,1,0,0,1,2,2,2,0,-1,0,2,2,1,2,0,2,-1,6,5,5,1,0.05,0,0,3,2,"Male","Poland",1,6,0,1,1,0,1,1,1,,,0,1,0,1,0,1,0,1,1,1,,,,,0,1,,,,,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,2,0,-1.6,0.833333333333333,0.833333333333333,4
9,"English",1,2,3,4,1,4,0,2,1,2,2,3,2,4,4,4,4,5,0,0,0,0,0,4,1,0,1,0,0,1,3,1,4,4,3,2,3,4,-3,5,9,1,1,0.5,0.3,1,1,4,"Male","Canada",3,6,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,-2.3,1.8,0.2,-21
10,"English",1,2,4,3,4,4,4,2,3,3,3,3,-2,3,2,3,3,3,3,3,3,3,3,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,0,8,8,7,1,1.5,0.1,1,4,5,"Male","United States",2,2,0,1,0,1,0,1,0,,,1,0,1,0,1,0,1,0,1,0,,,1,0,1,0,,,,,,,,,,,1,0,1,0,1,0,1,0,1,0,0,2,1,-4.1,1,0.875,1
